"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"87V0001167"	"87V0001167"	"1"	""	""	"1"	"MA08330207"
"87V0001169"	"87V0001169"	"1"	""	""	"1"	"MA08374951"
"87V0001241"	"87V0001241"	"1"	""	""	""	"MA08694738"
"87V0001286"	"87V0001286"	"1"	""	""	"1"	"MA10984761"
"87V0001289"	"87V0001289"	"1"	""	""	"1"	"MA11014093"
"87V0001302"	"87V0001302"	"1"	""	""	"1"	"MA08245285"
"87V0001421"	"87V0001421"	"1"	""	""	""	"MA11061605"
"87V0001427"	"87V0001427"	"1"	""	""	""	"MA08953680"
"87V0001471"	"87V0001471"	"1"	""	""	"1"	"MA08322551"
"87V0001472"	"87V0001472"	"1"	""	""	"1"	"MA08582221"
"87V0001477"	"87V0001477"	"1"	""	""	"1"	"MA09654637"
"87V0001488"	"87V0001488"	"1"	""	""	"1"	"MA10981054"
"87V0001489"	"87V0001489"	"1"	""	""	""	"MA09276449"
"87V0001495"	"87V0001495"	"1"	""	""	"1"	"MA09512401"
"87V0001496"	"87V0001496"	"1"	""	""	"1"	"MA09382528"
"87V0001537"	"87V0001537"	"1"	""	""	"1"	"MA11106061"
"87V0001546"	"87V0001546"	"1"	""	""	"1"	"MA09358674"
"87V0001549"	"87V0001549"	"1"	""	""	""	"MA09365344"
"87V0001558"	"87V0001558"	"1"	""	""	""	"MA08719425"
"87V0001562"	"87V0001562"	"1"	""	""	"1"	"MA10993993"
"87V0001568"	"87V0001568"	"1"	""	""	"1"	"MF01617951"
"87V0001570"	"87V0001570"	"1"	""	""	"1"	"MA08703268"
"87V0001573"	"87V0001573"	"1"	""	""	"1"	"MA11100160"
"87V0001579"	"87V0001579"	"1"	""	""	""	"MA11037045"
"87V0001594"	"87V0001594"	"1"	""	""	"1"	"MA11106113"
"87V0001602"	"87V0001602"	"1"	""	""	"1"	"MA08580417"
"87V0001608"	"87V0001608"	"1"	""	""	"1"	"MR05582581"
"87V0001612"	"87V0001612"	"1"	""	""	"1"	"MA08427382"
"87V0001620"	"87V0001620"	"1"	""	""	""	"MA08487085"
"87V0001650"	"87V0001650"	"1"	""	""	"1"	"MA09640109"
"87V0001660"	"87V0001660"	"1"	""	""	"1"	"MA11050547"
"87V0001681"	"87V0001681"	"1"	""	""	"1"	"MA11102606"
"87V0001711"	"87V0001711"	"1"	""	""	"1"	"MA08579593"
"87V0001760"	"87V0001760"	"1"	""	""	"1"	"MA09516364"
"87V0001764"	"87V0001764"	"1"	""	""	"1"	"MA09486343"
"87V0001847"	"87V0001847"	"1"	""	""	"1"	"MA08582149"
"87V0001882"	"87V0001882"	"1"	""	""	"1"	"MA11021717"
"87V0002023"	"87V0002023"	"1"	""	""	"1"	"MA09074407"
"87V0002135"	"87V0002135"	"1"	""	""	""	"MA08385211"
"87V0002159"	"87V0002159"	"1"	""	""	""	"MA11172544"
"8870000887"	"8870000887"	"1"	""	""	"1"	"MA08582916"
"8870001055"	"8870001055"	"1"	""	""	"1"	"MA08335660"
"8870001078"	"8870001078"	"1"	""	""	"1"	"MA09638211"
"8870001093"	"8870001093"	"1"	""	""	"1"	"MR12474357"
"8870001102"	"8870001102"	"1"	""	""	"1"	"MA11017863"
"8870001125"	"8870001125"	"1"	""	""	""	"MA09236788"
"8870001166"	"8870001166"	"1"	""	""	"1"	"MA09149799"
"8870001167"	"8870001167"	"1"	""	""	"1"	"MA09589388"
"8870001222"	"8870001222"	"1"	""	""	"1"	"MF13177531"
"8870001226"	"8870001226"	"1"	""	""	"1"	"MA11268167"
"8870001270"	"8870001270"	"1"	""	""	"1"	"MA08581557"
"8870001275"	"8870001275"	"1"	""	""	"1"	"MA11107233"
"8870001294"	"8870001294"	"1"	""	""	"1"	"MA08376147"
"8870001312"	"8870001312"	"1"	""	""	"1"	"MA09483785"
"8870001315"	"8870001315"	"1"	""	""	"1"	"MA08585426"
"8870001330"	"8870001330"	"1"	""	""	"1"	"MA10979339"
"8870001339"	"8870001339"	"1"	""	""	"1"	"MA11041343"
"8870001361"	"8870001361"	"1"	""	""	"1"	"MA11108332"
"8870001393"	"8870001393"	"1"	""	""	"1"	"MA11024762"
"8870001402"	"8870001402"	"1"	""	""	"1"	"MA11007274"
"8870001403"	"8870001403"	"1"	""	""	""	"MA11290468"
"8870001451"	"8870001451"	"1"	""	""	"1"	"MF12395450"
"8870001469"	"8870001469"	"1"	""	""	"1"	"MA08707588"
"8870001493"	"8870001493"	"1"	""	""	"1"	"MA11029660"
"8870001496"	"8870001496"	"1"	""	""	"1"	"MA09143715"
"8870001522"	"8870001522"	"1"	""	""	"1"	"MA11078562"
"8870001568"	"8870001568"	"1"	""	""	"1"	"MA11126089"
"8870001770"	"8870001770"	"1"	""	""	"1"	"MR36125216"
"8870052496"	"8870052496"	"1"	""	""	"1"	"MD16465562"
"88E0000810"	"88E0000810"	"1"	""	""	"1"	"MA08655021"
"88E0000844"	"88E0000844"	"1"	""	""	"1"	"MA11652649"
"88E0000875"	"88E0000875"	"1"	""	""	"1"	"MF07923343"
"88E0000904"	"88E0000904"	"1"	""	""	"1"	"MA11223005"
"88E0000938"	"88E0000938"	"1"	""	""	""	"MB15461883"
"88E0000954"	"88E0000954"	"1"	""	""	"1"	"MA10999748"
"88E0000965"	"88E0000965"	"1"	""	""	"1"	"MA08902402"
"88E0001049"	"88E0001049"	"1"	""	""	"1"	"MA08786134"
"88E0001073"	"88E0001073"	"1"	""	""	"1"	"MA11260736"
"88E0001117"	"88E0001117"	"1"	""	""	"1"	"MA11584038"
"88E0001118"	"88E0001118"	"1"	""	""	"1"	"MA11228558"
"88E0001165"	"88E0001165"	"1"	""	""	"1"	"MA11482323"
"88E0001191"	"88E0001191"	"1"	""	""	"1"	"MA11063907"
"88E0001238"	"88E0001238"	"1"	""	""	"1"	"MA08840955"
"88E0001249"	"88E0001249"	"1"	""	""	"1"	"MA11249264"
"88E0001359"	"88E0001359"	"1"	""	""	"1"	"MA08707361"
"88E0001376"	"88E0001376"	"1"	""	""	"1"	"MA11582251"
"88E0001400"	"88E0001400"	"1"	""	""	"1"	"MA11089828"
"88E0019666"	"88E0019666"	"1"	""	""	""	"MA11172052"
"88L0002243"	"88L0002243"	"1"	""	""	"1"	"MA08711300"
"88L0002424"	"88L0002424"	"1"	""	""	"1"	"MA09052908"
"88L0002436"	"88L0002436"	"1"	""	""	"1"	"MA09249199"
"88L0002441"	"88L0002441"	"1"	""	""	"1"	"MA09259237"
"88L0002459"	"88L0002459"	"1"	""	""	"1"	"MA08342128"
"88L0002462"	"88L0002462"	"1"	""	""	"1"	"MA09351193"
"88L0002474"	"88L0002474"	"1"	""	""	"1"	"MA11047549"
"88L0002478"	"88L0002478"	"1"	""	""	"1"	"MR04996097"
"88L0002518"	"88L0002518"	"1"	""	""	"1"	"MA11104593"
"88L0002542"	"88L0002542"	"1"	""	""	"1"	"MA11512602"
"88L0002580"	"88L0002580"	"1"	""	""	"1"	"MA11082512"
"88L0002584"	"88L0002584"	"1"	""	""	"1"	"MA11114562"
"88L0002595"	"88L0002595"	"1"	""	""	"1"	"MA09654638"
"88L0002619"	"88L0002619"	"1"	""	""	"1"	"MF04297335"
"88L0002644"	"88L0002644"	"1"	""	""	"1"	"MA09690850"
"88L0002648"	"88L0002648"	"1"	""	""	"1"	"MA08372408"
"88L0002689"	"88L0002689"	"1"	""	""	"1"	"MA09485308"
"88L0002696"	"88L0002696"	"1"	""	""	"1"	"MA11227137"
"88L0002739"	"88L0002739"	"1"	""	""	"1"	"MA09030832"
"88L0002755"	"88L0002755"	"1"	""	""	"1"	"MA08245386"
"88L0002769"	"88L0002769"	"1"	""	""	"1"	"MA11245260"
"88L0002923"	"88L0002923"	"1"	""	""	"1"	"MA11114967"
"88L0002961"	"88L0002961"	"1"	""	""	"1"	"MA08838491"
"88L0003007"	"88L0003007"	"1"	""	""	"1"	"N0000R4S15"
"88L0003039"	"88L0003039"	"1"	""	""	"1"	"MR37925139"
"88L0065955"	"88L0065955"	"1"	""	""	"1"	"MA08910301"
"88R0000769"	"88R0000769"	"1"	""	""	"1"	"MA08163518"
"88R0000771"	"88R0000771"	"1"	""	""	"1"	"MA09693591"
"88R0000817"	"88R0000817"	"1"	""	""	"1"	"MA11028695"
"88R0000915"	"88R0000915"	"1"	""	""	"1"	"MA08578140"
"88R0000984"	"88R0000984"	"1"	""	""	"1"	"MA11048251"
"88R0001001"	"88R0001001"	"1"	""	""	""	"MA11156118"
